"#page"
"Table 1"
"AGE. What is your age?"
""
"Base: Total Respondents"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
,"","GENDER","","QUADRANTS","","","","AGE BREAKOUT","","","","MEN AGE DETAIL","","","","FATAL FURY FAMILIARITY (P3 DOWN @ VGFRAN1)","","","","","","FATAL FURY FANSHIP (P3 DOWN @ VGFRAN2)","","","","GENRE FANS (P1 @ GFAN1)","","","ETHNICITY (QUOTA DEFINITIONS)","","","GAMING","","POSTINT","","","REGION (ZIP)","","","","MOVIEGOING (P1 @ ACTIVITIES)",""
,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
,"Total","Men","Women","Men <35","Men 35+","Women <35","Women 35+","13-24","25-34","35-44","45-64","Men 13-24","Men 25-34","Men 35-44","Men 45-64","Know a lot","Know a little","Heard of","Never Heard of","Total Know","Non-Players","Very Much Fan","Somewhat Fan","Total Fans","Not a Fan","Action","Martial Arts","Anime","Caucasian/Asian/Other","Hispanic/Latino","AA/Black","Daily","Weekly/Monthly","Definitely","Probably","Prob/Def Not","Northeast","Midwest","South","West","Weekly/Monthly","Every 2-6 Months"
,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Total",800,480,320,240,240,160,160,200,200,200,200,120,120,120,120,111,171,214,305,282,518,99,185,284,211,528,156,234,520,160,120,472,328,351,317,132,156,127,317,200,485,315
"NET: 13-34",50%,50%,50%,100%,0 ,100%,0 ,100%,100%,0 ,0 ,100%,100%,0 ,0 ,51%,50%,48%,51%,50%,50%,55%,47%,50%,48%,49%,46%,62%,50%,50%,50%,53%,46%,52%,46%,54%,55%,55%,45%,50%,52%,47%
"  13-17",17%,17%,15%,35%,0 ,30%,0 ,66%,0 ,0 ,0 ,70%,0 ,0 ,0 ,20%,15%,17%,15%,17%,16%,19%,20%,19%,15%,17%,14%,18%,17%,15%,16%,20%,12%,18%,16%,16%,22%,15%,16%,13%,17%,15%
"  18-24",9%,8%,10%,15%,0 ,20%,0 ,34%,0 ,0 ,0 ,30%,0 ,0 ,0 ,6%,8%,8%,10%,7%,9%,10%,5%,7%,9%,8%,7%,11%,8%,9%,10%,8%,10%,7%,10%,10%,6%,9%,8%,11%,9%,8%
"  25-29",12%,12%,12%,25%,0 ,25%,0 ,0 ,50%,0 ,0 ,0 ,50%,0 ,0 ,12%,10%,13%,14%,11%,13%,9%,11%,11%,13%,11%,11%,19%,14%,10%,9%,15%,9%,15%,9%,15%,14%,14%,11%,13%,12%,13%
"  30-34",12%,12%,12%,25%,0 ,25%,0 ,0 ,50%,0 ,0 ,0 ,50%,0 ,0 ,13%,16%,9%,13%,15%,11%,17%,11%,13%,11%,12%,14%,14%,11%,15%,16%,11%,15%,12%,12%,13%,13%,18%,10%,13%,14%,11%
