"#page"
"Table 1"
"AGE. What is your age?"
""
"Base: Total Respondents"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
,"","","","QUADRANTS","","","","","","","","FATAL FURY FAMILIARITY (P3 DOWN @ VGFRAN1)","","","","","","","","","","","","GENRE FANS (P1 @ GFAN1)","","","","","","GAMING (P2 @ ACTIVITIES)","","","","MOVIEGOING (P1 @ ACTIVITIES)","","","","ETHNICITY (QUOTA DEFINITIONS)","","","","","","FATAL FURY FANSHIP (P3 DOWN @ VGFRAN2)","","","","","","",""
,"","","","T1_SHERIDAN","","","","T2_GOYER","","","","T1_SHERIDAN","","","","","","T1_GOYER","","","","","","T1_SHERIDAN","","","T1_GOYER","","","T1_SHERIDAN","","T1_GOYER","","T1_SHERIDAN","","T1_GOYER","","T1_SHERIDAN","","","T1_GOYER","","","T1_SHERIDAN","","","","T1_GOYER","","",""
,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
,"Total","CONCEPT T1_SHERIDAN","CONCEPT T1_GOYER","Men <35","Men 35+","Women <35","Women 35+","Men <35","Men 35+","Women <35","Women 35+","Know a lot","Know a little","Heard of","Never Heard of","Total Know","Non-Players","Know a lot","Know a little","Heard of","Never Heard of","Total Know","Non-Players","Action","Martial Arts","Anime","Action","Martial Arts","Anime","Daily","Weekly/Monthly","Daily","Weekly/Monthly","Weekly/Monthly","Every 2-6 Months","Weekly/Monthly","Every 2-6 Months","Caucasian/Asian/Other","Hispanic/Latino","AA/Black","Caucasian/Asian/Other","Hispanic/Latino","AA/Black","Very Much Fan","Somewhat Fan","Total Fans","Not a Fan","Very Much Fan","Somewhat Fan","Total Fans","Not a Fan"
,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Total",800,400,400,120,120,80,80,120,120,80,80,56,85,107,152,141,259,56,85,107,152,141,259,264,78,117,264,78,117,238,162,234,166,242,158,242,158,260,80,60,260,80,60,46,89,135,113,53,95,149,99
"NET: 13-34",400,200,200,120,0,80,0,120,0,80,0,28,42,51,78,71,129,28,42,51,78,71,129,129,36,73,129,36,73,131,69,119,81,126,74,126,74,130,40,30,130,40,30,29,40,69,53,26,47,73,48
"  13-17",132,66,66,43,0,22,0,40,0,26,0,13,14,16,23,27,39,10,12,21,23,22,44,48,10,17,42,11,26,49,17,45,21,40,26,44,22,44,10,12,44,14,7,10,21,31,12,8,15,24,20
"  18-24",68,34,34,17,0,18,0,20,0,14,0,4,8,6,17,12,22,3,6,12,13,9,25,22,4,14,23,8,13,18,16,18,16,25,9,18,16,24,6,4,18,9,7,7,4,10,7,3,5,9,13
"  25-29",100,50,50,30,0,20,0,30,0,20,0,7,10,18,16,17,33,7,7,9,27,14,36,27,9,27,30,7,17,38,11,31,19,25,25,33,17,35,10,5,38,7,5,5,10,14,20,4,11,16,7
"  30-34",100,50,50,30,0,20,0,30,0,20,0,6,10,11,23,16,34,9,17,8,16,26,24,32,12,15,34,10,18,26,24,24,26,36,14,31,19,27,15,8,29,10,11,7,6,13,14,10,15,25,9
"NET: 35-59",400,200,200,0,120,0,80,0,120,0,80,27,43,56,74,70,130,27,43,56,74,70,130,135,42,44,135,42,44,107,93,115,85,116,84,116,84,130,40,30,130,40,30,17,49,66,60,27,48,75,51
"  35-39",100,50,50,0,30,0,20,0,30,0,20,7,12,11,20,19,31,6,10,16,18,16,34,35,4,15,31,12,14,23,27,30,20,34,16,33,17,30,8,12,29,18,4,5,13,17,13,8,13,21,11
"  40-44",100,50,50,0,30,0,20,0,30,0,20,12,11,15,13,22,28,7,9,14,20,16,34,34,14,10,33,8,9,26,24,28,22,28,22,28,22,29,13,8,32,4,14,4,16,21,16,5,15,20,10
"  45-54",100,50,50,0,30,0,20,0,30,0,20,7,9,14,20,16,34,14,9,10,17,23,27,37,12,9,35,14,13,27,23,32,18,26,24,28,22,32,9,9,34,12,4,7,12,19,12,13,8,21,13
"  55-64",100,50,50,0,30,0,20,0,30,0,20,1,12,16,21,13,37,0,14,16,19,14,36,30,11,11,36,7,7,31,19,25,25,29,21,27,23,39,10,2,36,7,8,1,9,10,19,2,12,14,17
