"#page"
"Table 1"
"AGE. What is your age?"
""
"Base: Total Respondents"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
,"","GENDER","","QUADRANTS","","","","AGE BREAKOUT","","","","MEN AGE DETAIL","","","","FATAL FURY FAMILIARITY (P3 DOWN @ VGFRAN1)","","","","","","FATAL FURY FANSHIP (P3 DOWN @ VGFRAN2)","","","","GENRE FANS (P1 @ GFAN1)","","","ETHNICITY (QUOTA DEFINITIONS)","","","GAMING","","POSTINT","","","REGION (ZIP)","","","","MOVIEGOING (P1 @ ACTIVITIES)",""
,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
,"Total","Men","Women","Men <35","Men 35+","Women <35","Women 35+","13-24","25-34","35-44","45-64","Men 13-24","Men 25-34","Men 35-44","Men 45-64","Know a lot","Know a little","Heard of","Never Heard of","Total Know","Non-Players","Very Much Fan","Somewhat Fan","Total Fans","Not a Fan","Action","Martial Arts","Anime","Caucasian/Asian/Other","Hispanic/Latino","AA/Black","Daily","Weekly/Monthly","Definitely","Probably","Prob/Def Not","Northeast","Midwest","South","West","Weekly/Monthly","Every 2-6 Months"
,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Total",800,480,320,240,240,160,160,200,200,200,200,120,120,120,120,111,171,214,305,282,518,99,185,284,211,528,156,234,520,160,120,472,328,351,317,132,156,127,317,200,485,315
"NET: 13-34",400,240,160,240,0,160,0,200,200,0,0,120,120,0,0,57,85,102,157,142,258,55,87,142,101,258,72,146,260,80,60,250,150,181,147,71,87,70,144,100,252,148
"  13-17",132,83,49,83,0,49,0,132,0,0,0,83,0,0,0,23,26,37,46,49,83,18,36,55,31,90,22,43,88,25,19,94,38,62,50,20,35,19,52,26,85,47
"  18-24",68,37,32,37,0,32,0,68,0,0,0,37,0,0,0,7,14,18,29,21,47,10,9,19,20,45,12,27,42,15,11,36,32,24,30,14,10,11,24,22,43,25
"  25-29",100,60,40,60,0,40,0,0,100,0,0,0,60,0,0,13,17,27,42,31,69,9,21,30,27,57,17,43,73,17,10,70,30,52,28,20,21,17,35,26,58,42
"  30-34",100,60,40,60,0,40,0,0,100,0,0,0,60,0,0,14,27,19,39,42,58,17,21,38,23,65,22,33,57,24,19,50,50,43,39,17,20,22,32,26,67,33
