"#page"
"Table 1"
"AGE. What is your age?"
""
"Base: Total Respondents"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
,"","","","QUADRANTS","","","","","","","","FATAL FURY FAMILIARITY (P3 DOWN @ VGFRAN1)","","","","","","","","","","","","GENRE FANS (P1 @ GFAN1)","","","","","","GAMING (P2 @ ACTIVITIES)","","","","MOVIEGOING (P1 @ ACTIVITIES)","","","","ETHNICITY (QUOTA DEFINITIONS)","","","","","","FATAL FURY FANSHIP (P3 DOWN @ VGFRAN2)","","","","","","",""
,"","","","T1_SHERIDAN","","","","T2_GOYER","","","","T1_SHERIDAN","","","","","","T1_GOYER","","","","","","T1_SHERIDAN","","","T1_GOYER","","","T1_SHERIDAN","","T1_GOYER","","T1_SHERIDAN","","T1_GOYER","","T1_SHERIDAN","","","T1_GOYER","","","T1_SHERIDAN","","","","T1_GOYER","","",""
,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
,"Total","CONCEPT T1_SHERIDAN","CONCEPT T1_GOYER","Men <35","Men 35+","Women <35","Women 35+","Men <35","Men 35+","Women <35","Women 35+","Know a lot","Know a little","Heard of","Never Heard of","Total Know","Non-Players","Know a lot","Know a little","Heard of","Never Heard of","Total Know","Non-Players","Action","Martial Arts","Anime","Action","Martial Arts","Anime","Daily","Weekly/Monthly","Daily","Weekly/Monthly","Weekly/Monthly","Every 2-6 Months","Weekly/Monthly","Every 2-6 Months","Caucasian/Asian/Other","Hispanic/Latino","AA/Black","Caucasian/Asian/Other","Hispanic/Latino","AA/Black","Very Much Fan","Somewhat Fan","Total Fans","Not a Fan","Very Much Fan","Somewhat Fan","Total Fans","Not a Fan"
,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Total",800,400,400,120,120,80,80,120,120,80,80,56,85,107,152,141,259,56,85,107,152,141,259,264,78,117,264,78,117,238,162,234,166,242,158,242,158,260,80,60,260,80,60,46,89,135,113,53,95,149,99
"NET: 13-34",50%,50%,50%,100%,0 ,100%,0 ,100%,0 ,100%,0 ,51%,50%,48%,51%,50%,50%,51%,50%,48%,51%,50%,50%,49%,46%,62%,49%,46%,62%,55%,42%,51%,49%,52%,47%,52%,47%,50%,50%,50%,50%,50%,50%,63%,45%,51%,47%,49%,50%,49%,49%
"  13-17",17%,16%,17%,36%,0 ,28%,0 ,33%,0 ,33%,0 ,23%,16%,15%,15%,19%,15%,18%,14%,20%,15%,16%,17%,18%,13%,15%,16%,14%,22%,20%,11%,19%,13%,17%,16%,18%,14%,17%,13%,20%,17%,18%,12%,23%,23%,23%,10%,15%,16%,16%,20%
"  18-24",9%,9%,9%,14%,0 ,22%,0 ,17%,0 ,18%,0 ,6%,10%,5%,11%,8%,9%,5%,7%,12%,8%,6%,10%,8%,5%,12%,9%,10%,11%,7%,10%,8%,9%,10%,6%,7%,10%,9%,7%,7%,7%,11%,12%,15%,4%,8%,6%,6%,6%,6%,13%
"  25-29",12%,12%,12%,25%,0 ,25%,0 ,25%,0 ,25%,0 ,12%,12%,16%,10%,12%,13%,12%,8%,9%,18%,10%,14%,10%,12%,23%,11%,9%,14%,16%,7%,13%,11%,10%,16%,14%,11%,13%,12%,9%,15%,9%,8%,10%,11%,11%,18%,8%,12%,11%,7%
"  30-34",12%,13%,12%,25%,0 ,25%,0 ,25%,0 ,25%,0 ,10%,12%,11%,15%,11%,13%,16%,20%,8%,10%,18%,9%,12%,16%,13%,13%,13%,15%,11%,15%,10%,16%,15%,9%,13%,12%,10%,18%,13%,11%,12%,18%,16%,6%,10%,13%,19%,16%,17%,9%
"NET: 35-59",50%,50%,50%,0 ,100%,0 ,100%,0 ,100%,0 ,100%,49%,50%,52%,49%,50%,50%,49%,50%,52%,49%,50%,50%,51%,54%,38%,51%,54%,38%,45%,58%,49%,51%,48%,53%,48%,53%,50%,50%,50%,50%,50%,50%,37%,55%,49%,53%,51%,50%,51%,51%
