banner,table_no,meta,layout,marker,base_stmt,question_title
Ban1,1,AGE,plain,,Base: Total Respondents,AGE. What is your age?
Ban1,2,GENDER,plain,,Base: Total Respondents,GENDER. How do you identify your gender?
Ban1,3,ZIPCODE,plain,,Base: US RESPONDENTS,ZIPCODE. Please enter the zip code of the city that you are located in
Ban1,4,ETHNICITY,plain,,Base: US RESPONDENTS,ETHNICITY. Which of the following race or ethnic categories do you most identify with?
Ban1,5,ACTIVITIES,per_item,See movies in a theater,Base: Total Respondents,ACTIVITIES. Approximately how often do you...?
Ban1,6,ACTIVITIES,per_item,Play video games,Base: Total Respondents,ACTIVITIES. Approximately how often do you...?
Ban1,7,ACTIVITIES,per_item,Stream movies/series,Base: Total Respondents,ACTIVITIES. Approximately how often do you...?
Ban1,8,ACTIVITIES,per_item,Scroll through social media,Base: Total Respondents,ACTIVITIES. Approximately how often do you...?
Ban1,9,ACTIVITIES,per_item,Watch sports on TV/streaming,Base: Total Respondents,ACTIVITIES. Approximately how often do you...?
Ban1,10,ACTIVITIES,per_item,"Read comics, graphic novels, or manga",Base: Total Respondents,ACTIVITIES. Approximately how often do you...?
Ban1,11,ACTIVITIES,summary,'Every day' Summary Table,Base: Total Respondents,ACTIVITIES. Approximately how often do you...?
Ban1,12,ACTIVITIES,summary,'Every week' Summary Table,Base: Total Respondents,ACTIVITIES. Approximately how often do you...?
Ban1,13,ACTIVITIES,summary,'Every month' Summary Table,Base: Total Respondents,ACTIVITIES. Approximately how often do you...?
Ban1,14,ACTIVITIES,summary,'Every 2-6 months' Summary Table,Base: Total Respondents,ACTIVITIES. Approximately how often do you...?
Ban1,15,ACTIVITIES,summary,'Once a year or less' Summary Table,Base: Total Respondents,ACTIVITIES. Approximately how often do you...?
Ban1,16,ACTIVITIES,summary,'Never' Summary Table,Base: Total Respondents,ACTIVITIES. Approximately how often do you...?
Ban1,17,GFAN1,per_item,Action,Base: Total Respondents,GFAN1. How do you feel about the following genres of movies/TV series?
Ban1,18,GFAN1,per_item,Martial Arts,Base: Total Respondents,GFAN1. How do you feel about the following genres of movies/TV series?
Ban1,19,GFAN1,summary,'One of my favorites' Summary Table,Base: Total Respondents,GFAN1. How do you feel about the following genres of movies/TV series?
